TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
1761,4,27,0.5555556,2.864875,1.861383,12.55725,12.76327,0.3935667,0.4489731,0.590441,0.2859715,0.6378499,25.30741,0.5396241,0.5397876,8.139488,24.03715,
1781,4,26,0.5769231,2.865902,1.856776,13.00469,12.78458,0.3976035,0.4510396,0.5918284,0.2830448,0.6352657,25.32038,0.5302881,0.5402989,7.966782,23.96728,
1801,4,25,0.6,2.855819,1.848742,12.62874,12.87784,0.4031669,0.4531615,0.5883515,0.2784195,0.6321258,25.1105,0.5311469,0.5432751,8.146655,23.85645,
1821,4,27,0.5555556,2.852963,1.856354,12.57935,12.7518,0.4025458,0.4513475,0.6057041,0.2878607,0.6395668,25.42524,0.523013,0.5402824,7.815414,23.82102,
1841,4,26,0.5384616,2.839473,1.85552,12.9522,12.07724,0.3966618,0.4398712,0.6001725,0.296252,0.6524101,25.39484,0.5300215,0.5305997,7.568591,23.71267,
1861,5,27,0.5185185,2.83523,1.854141,13.26139,12.09324,0.4009632,0.4396763,0.6043749,0.3003444,0.658861,25.43921,0.5291858,0.5299632,7.428565,23.70214,
1881,5,25,0.56,2.849216,1.852418,13.44258,12.20497,0.4004169,0.44277,0.5710315,0.2925646,0.6513487,25.49574,0.5260912,0.5365623,8.165925,23.7191,
1901,5,22,0.5,2.839515,1.831734,12.74582,12.18644,0.3984298,0.4288909,0.5911313,0.2933869,0.6542807,26.00477,0.5201955,0.5546247,7.531871,23.77743,
1921,5,22,0.5,2.845611,1.834802,12.83349,12.04841,0.3876928,0.430989,0.5892718,0.2943867,0.6551778,25.98889,0.517455,0.5544996,7.522013,24.03815,
1941,5,20,0.5,2.834685,1.824681,13.38848,12.19527,0.3972012,0.4178472,0.601855,0.3007704,0.6676518,26.69696,0.511696,0.5515436,7.393272,23.82163,
1961,5,20,0.5,2.823498,1.816335,14.51359,12.11739,0.3982664,0.4180167,0.632462,0.3155522,0.669521,27.54031,0.5053086,0.5471692,6.917586,23.94141,
1981,5,19,0.5263158,2.83726,1.821635,14.00901,12.26019,0.4043343,0.4191636,0.6277338,0.3115982,0.6884767,27.53199,0.5042889,0.5507367,7.104341,23.74173,
2001,5,19,0.5263158,2.83726,1.821635,14.00901,12.26019,0.4043343,0.4191636,0.6277338,0.3115982,0.6884767,27.53199,0.5042889,0.5507367,7.104341,23.74173,
2021,5,16,0.5,2.836397,1.789382,15.56434,12.54332,0.4110917,0.4119681,0.6653159,0.3393722,0.6830285,27.51859,0.5041997,0.5546908,6.536504,23.58706,
2041,5,16,0.5,2.836397,1.789382,15.56434,12.54332,0.4110917,0.4119681,0.6653159,0.3393722,0.6830285,27.51859,0.5041997,0.5546908,6.536504,23.58706,
2061,5,16,0.5,2.81375,1.803247,15.60667,12.49213,0.4095956,0.4086744,0.6838616,0.3416698,0.6789581,27.68065,0.5005075,0.5512485,5.971374,23.68917,
2081,5,16,0.5,2.81375,1.803247,15.60667,12.49213,0.4095956,0.4086744,0.6838616,0.3416698,0.6789581,27.68065,0.5005075,0.5512485,5.971374,23.68917,
2101,5,16,0.5,2.81375,1.803247,15.60667,12.49213,0.4095956,0.4086744,0.6838616,0.3416698,0.6789581,27.68065,0.5005075,0.5512485,5.971374,23.68917,
2121,5,15,0.5333334,2.800934,1.791696,15.10853,12.68112,0.4181457,0.4050835,0.6823069,0.3363382,0.6727343,27.56772,0.5042128,0.5541402,6.140826,23.40248,
2141,5,15,0.5333334,2.800934,1.791696,15.10853,12.68112,0.4181457,0.4050835,0.6823069,0.3363382,0.6727343,27.56772,0.5042128,0.5541402,6.140826,23.40248,
2161,5,15,0.5333334,2.800934,1.791696,15.10853,12.68112,0.4181457,0.4050835,0.6823069,0.3363382,0.6727343,27.56772,0.5042128,0.5541402,6.140826,23.40248,
2181,5,15,0.5333334,2.791592,1.79297,15.0001,12.76074,0.4198818,0.4016615,0.6616102,0.3374144,0.6756762,27.51566,0.4889922,0.5516191,5.544059,23.47796,
2201,5,16,0.5,2.808137,1.777117,14.90024,12.53825,0.413586,0.4087311,0.6657644,0.3368406,0.6845548,27.20207,0.5094997,0.5429078,5.438056,23.55105,
2221,5,16,0.5,2.808137,1.777117,14.90024,12.53825,0.413586,0.4087311,0.6657644,0.3368406,0.6845548,27.20207,0.5094997,0.5429078,5.438056,23.55105,
2241,5,16,0.5,2.817206,1.783505,13.46107,12.58561,0.4135665,0.4063022,0.6686668,0.3367221,0.6857377,27.28516,0.509777,0.5432866,5.447936,23.65221,
2261,4,16,0.5,2.843087,1.769829,12.25877,12.61751,0.4114827,0.4074398,0.6714513,0.338037,0.68312,27.28924,0.5106276,0.5394949,5.456405,23.61369,
2281,4,16,0.5,2.843087,1.769829,12.25877,12.61751,0.4114827,0.4074398,0.6714513,0.338037,0.68312,27.28924,0.5106276,0.5394949,5.456405,23.61369,
2301,4,16,0.5,2.820916,1.758972,12.75336,12.72463,0.3978972,0.4128886,0.6607912,0.3572903,0.6601756,27.22722,0.5210253,0.546001,4.805073,23.63404,
2321,4,17,0.4705882,2.813753,1.75889,13.30323,12.6967,0.3908274,0.4158174,0.6670063,0.35666,0.66477,27.19645,0.5227703,0.5470654,4.726899,23.94656,
2341,4,18,0.4444444,2.803457,1.761384,12.72384,12.65741,0.3844434,0.41471,0.6492274,0.359474,0.6758454,27.34306,0.5133589,0.5423257,4.66446,24.00257,
2361,4,19,0.4210526,2.799498,1.768365,13.19845,12.46403,0.3826706,0.4162386,0.6570274,0.3598972,0.6821068,27.28177,0.529476,0.5404577,4.600031,24.1184,
2381,4,19,0.4210526,2.799498,1.768365,13.19845,12.46403,0.3826706,0.4162386,0.6570274,0.3598972,0.6821068,27.28177,0.529476,0.5404577,4.600031,24.1184,
2401,4,18,0.4444444,2.804008,1.768754,13.33547,12.59521,0.3866582,0.4140139,0.6556552,0.3598866,0.6746784,27.29223,0.5186385,0.5432156,4.646605,24.17895,
2421,4,17,0.4705882,2.814142,1.760866,12.61172,12.76782,0.392439,0.4144803,0.6491628,0.3599339,0.6695414,27.36367,0.5182047,0.5505557,4.692929,24.03383,
2441,4,17,0.4705882,2.814142,1.760866,12.61172,12.76782,0.392439,0.4144803,0.6491628,0.3599339,0.6695414,27.36367,0.5182047,0.5505557,4.692929,24.03383,
2461,4,17,0.4705882,2.806858,1.762758,13.16302,12.77107,0.392895,0.4125357,0.6500088,0.3614159,0.6700996,27.39421,0.5060735,0.5501392,4.682044,24.12503,
2481,4,16,0.4375,2.804999,1.759826,12.6363,12.96896,0.3808276,0.4084323,0.6433426,0.3608791,0.6622335,27.50175,0.5053536,0.5544949,4.744345,24.11352,
2501,4,16,0.4375,2.804999,1.759826,12.6363,12.96896,0.3808276,0.4084323,0.6433426,0.3608791,0.6622335,27.50175,0.5053536,0.5544949,4.744345,24.11352,
2521,4,16,0.4375,2.804999,1.759826,12.6363,12.96896,0.3808276,0.4084323,0.6433426,0.3608791,0.6622335,27.50175,0.5053536,0.5544949,4.744345,24.11352,
2541,5,17,0.4117647,2.816823,1.759641,12.08369,12.84558,0.3756142,0.4138677,0.6370479,0.3601467,0.6443052,27.30982,0.5059448,0.5547228,4.699585,24.07026,
2561,5,16,0.4375,2.824178,1.75977,11.4576,12.88281,0.3817331,0.410817,0.6289604,0.3609949,0.6384317,27.34768,0.5031481,0.5541371,4.776052,23.76547,
2581,5,16,0.4375,2.824178,1.75977,11.4576,12.88281,0.3817331,0.410817,0.6289604,0.3609949,0.6384317,27.34768,0.5031481,0.5541371,4.776052,23.76547,
2601,5,17,0.4705882,2.808858,1.755684,11.4114,12.66428,0.3758122,0.412259,0.6417344,0.3603571,0.6231325,27.36626,0.5033552,0.5550494,4.692507,23.75056,
2621,5,17,0.4705882,2.808858,1.755684,11.4114,12.66428,0.3758122,0.412259,0.6417344,0.3603571,0.6231325,27.36626,0.5033552,0.5550494,4.692507,23.75056,
2641,5,18,0.4444444,2.832302,1.753701,10.94685,12.55465,0.3716869,0.4116682,0.649006,0.3614814,0.6278096,27.28455,0.5017362,0.5622249,4.621868,23.9631,
2661,5,19,0.4210526,2.851857,1.76031,10.54357,12.48495,0.3684053,0.4166808,0.6439264,0.361081,0.632669,27.36762,0.5050133,0.5618404,4.588596,23.90341,
2681,5,18,0.4444444,2.858046,1.752767,9.911273,12.68151,0.3706306,0.4150412,0.635049,0.3608405,0.6262137,27.46121,0.4905517,0.5641346,4.645035,23.82001,
2701,5,18,0.4444444,2.858046,1.752767,9.911273,12.68151,0.3706306,0.4150412,0.635049,0.3608405,0.6262137,27.46121,0.4905517,0.5641346,4.645035,23.82001,
2721,5,18,0.4444444,2.858046,1.752767,9.911273,12.68151,0.3706306,0.4150412,0.635049,0.3608405,0.6262137,27.46121,0.4905517,0.5641346,4.645035,23.82001,
2741,5,20,0.45,2.852276,1.739215,10.64018,12.50001,0.3629313,0.4140062,0.6452034,0.3662069,0.615959,27.51213,0.4928136,0.5584619,4.543737,23.90986,
2761,5,19,0.4736842,2.832351,1.740227,11.03969,12.59523,0.3661616,0.4146578,0.6384971,0.3654497,0.6111506,27.59722,0.4937926,0.5518436,4.602829,23.71689,
2781,5,19,0.4736842,2.844912,1.742819,9.997855,12.51861,0.3790797,0.4198354,0.6362271,0.364519,0.6156442,27.59153,0.4864633,0.553018,4.592338,23.7909,
2801,5,18,0.5,2.826712,1.733366,10.84173,12.50155,0.397557,0.4180357,0.6706184,0.3464952,0.5828618,27.2216,0.4910013,0.5600126,4.608093,23.83183,
2821,5,18,0.4444444,2.818671,1.735898,10.79224,12.51868,0.3961209,0.4158974,0.6706775,0.3458154,0.5590361,27.1553,0.4881556,0.5610954,4.61319,23.92306,
2841,5,18,0.4444444,2.818671,1.735898,10.79224,12.51868,0.3961209,0.4158974,0.6706775,0.3458154,0.5590361,27.1553,0.4881556,0.5610954,4.61319,23.92306,
2861,5,18,0.4444444,2.818671,1.735898,10.79224,12.51868,0.3961209,0.4158974,0.6706775,0.3458154,0.5590361,27.1553,0.4881556,0.5610954,4.61319,23.92306,
2881,5,18,0.4444444,2.818671,1.735898,10.79224,12.51868,0.3961209,0.4158974,0.6706775,0.3458154,0.5590361,27.1553,0.4881556,0.5610954,4.61319,23.92306,
2901,5,18,0.4444444,2.818671,1.735898,10.79224,12.51868,0.3961209,0.4158974,0.6706775,0.3458154,0.5590361,27.1553,0.4881556,0.5610954,4.61319,23.92306,
2921,5,19,0.4210526,2.82578,1.743016,11.38966,12.35882,0.4026886,0.4200739,0.6533281,0.3454824,0.573743,26.95198,0.4921892,0.557394,4.5377,23.93716,
2941,5,20,0.4,2.824433,1.73974,11.32261,12.23405,0.4095176,0.419878,0.6638893,0.3496193,0.5651311,26.98373,0.4933092,0.5526108,4.490088,23.96289,
2961,5,20,0.4,2.824433,1.73974,11.32261,12.23405,0.4095176,0.419878,0.6638893,0.3496193,0.5651311,26.98373,0.4933092,0.5526108,4.490088,23.96289,
2981,5,20,0.4,2.824433,1.73974,11.32261,12.23405,0.4095176,0.419878,0.6638893,0.3496193,0.5651311,26.98373,0.4933092,0.5526108,4.490088,23.96289,
3001,5,21,0.3809524,2.814327,1.73988,11.25339,12.11288,0.4165403,0.4186358,0.6706786,0.3510986,0.5754454,27.03646,0.4936221,0.5491764,4.449098,23.86986,
