TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
860,4,24,0.375,3.138497,1.182606,20.65678,17.65409,0,0.1171154,0.4209618,0.2828248,0.6211371,0.4104434,0.7500768,14.46181,0.4289975,0.4107185,8.65492,17.41795,
880,4,26,0.3461539,3.152904,1.240369,20.74179,17.18471,0,0.1156787,0.4196461,0.29172,0.6174995,0.4148965,0.7415442,14.31363,0.4242352,0.4272963,8.632694,17.52167,
900,4,28,0.3214286,3.159477,1.308261,20.20781,17.02047,0,0.1118905,0.4000439,0.2816579,0.6371515,0.4178823,0.7330918,13.73147,0.4175752,0.4233039,8.730148,17.55847,
920,4,31,0.3225806,3.114468,1.354232,20.81632,16.95233,0,0.1076742,0.3899734,0.2846488,0.6632316,0.4176739,0.7202435,13.41635,0.4090582,0.4390947,8.382773,17.18837,
940,4,34,0.3235294,3.131847,1.381488,20.45344,17.39808,0,0.1092041,0.3976314,0.2966095,0.6422478,0.4129607,0.7137378,13.54156,0.4196723,0.456924,8.816241,17.197,
960,5,39,0.3589744,3.11627,1.390255,19.91079,17.63798,0,0.1080005,0.3957267,0.2913502,0.6227122,0.4273817,0.7152854,13.95625,0.4108782,0.4718032,9.003206,17.18587,
980,5,39,0.3076923,3.095274,1.389259,20.42119,16.77242,0,0.1121692,0.3674313,0.278584,0.6085807,0.4234431,0.6846244,12.82953,0.4029094,0.4593802,8.792159,17.18672,
1000,5,45,0.3111111,3.049219,1.192943,21.03447,15.51907,0,0.1138026,0.3425113,0.2796535,0.589576,0.4315931,0.6713563,11.85634,0.38927,0.4609073,8.285124,17.48059,
1020,5,47,0.2978723,3.045826,1.215961,21.14431,15.59561,0,0.1121773,0.3280439,0.2856262,0.5944741,0.4422148,0.6879268,11.78633,0.389983,0.465693,8.143649,17.6411,
1041,5,53,0.2641509,3.04712,1.147071,21.22,15.07057,0,0.1140452,0.3383863,0.277833,0.5690152,0.4443851,0.6907477,11.75825,0.3795184,0.4606072,8.343179,18.30953,
1061,5,60,0.2833333,3.012115,1.161004,21.21965,14.42981,0,0.1151514,0.3357674,0.2847979,0.5664827,0.434342,0.6773576,11.60729,0.3787736,0.4660961,8.393076,17.94648,
1081,6,69,0.2898551,3.00778,1.137097,21.22224,14.26607,0,0.1175932,0.3353016,0.2673675,0.5629394,0.4356643,0.6891457,11.34166,0.3798618,0.4601734,8.573638,18.17696,
1101,7,76,0.2894737,3.013085,1.100363,21.05562,13.20754,0,0.1170502,0.3264152,0.264141,0.5492464,0.4310451,0.6879428,11.16058,0.377741,0.460803,8.743122,18.31504,
1121,7,92,0.326087,3.044581,1.043483,21.18563,12.42061,0,0.1200463,0.3192646,0.2675257,0.5410087,0.4349666,0.6986277,10.88793,0.3765412,0.4568175,8.417331,18.44227,
1141,7,103,0.3300971,3.033184,1.001281,21.03534,11.68685,0,0.1219648,0.3241505,0.2520779,0.536504,0.4264966,0.7090484,9.716357,0.3734346,0.4551341,8.807145,18.66593,
1161,8,111,0.3603604,3.027713,0.9975643,21.10673,10.89883,0,0.1216572,0.3193642,0.2412464,0.5433962,0.4244457,0.7152004,8.518462,0.3789637,0.4387558,8.914829,19.80219,
1181,8,120,0.4166667,3.023784,0.9976097,20.54053,10.96056,0,0.119132,0.3073056,0.2268471,0.5618083,0.423449,0.7136506,8.04896,0.3783568,0.4469987,9.371411,19.92611,
1201,8,120,0.4166667,3.012844,0.9827117,20.83838,10.7669,0,0.121223,0.3168802,0.2267967,0.5744793,0.4281055,0.7180237,7.198244,0.3748719,0.4490651,9.79028,20.0764,
1221,8,106,0.3962264,3.004816,0.9843578,20.22451,10.16721,0,0.1230868,0.3086296,0.2276277,0.5663344,0.4254661,0.7162833,7.318064,0.3759808,0.4453152,9.7107,19.73242,
1241,8,84,0.4285714,3.024328,0.9854544,18.90636,9.754484,0,0.12466,0.3213949,0.2283238,0.5565952,0.4214139,0.698805,7.610616,0.3718708,0.4516331,10.04446,20.34963,
1261,8,77,0.4025974,3.006367,0.9915389,18.4641,9.644604,0,0.1256462,0.3222481,0.2305868,0.5528056,0.421708,0.7123344,7.190175,0.3727887,0.4353136,9.99812,20.23873,
1281,8,60,0.4833333,2.958981,1.007653,17.34369,9.838227,0,0.1245815,0.3234684,0.2418895,0.5554318,0.4146517,0.7036473,7.551172,0.3686681,0.4464235,9.859578,20.23023,
1301,8,54,0.5,2.96261,1.008188,16.46387,9.870689,0,0.126606,0.3179907,0.2569052,0.5526141,0.4224693,0.7121101,7.204399,0.3674737,0.4427036,9.83965,20.11676,
1321,8,54,0.5185185,2.961399,1.006112,16.38415,9.802649,0,0.1262411,0.3154683,0.2519786,0.5520556,0.4256792,0.7138669,7.188934,0.3689385,0.445031,9.726316,20.16898,
